Site,Year,Start,End,Tran,Plot ,Species,SdlDensity,Poa,BG,Rock,GREAUS_AdultDen
R3012O,2012,14:05,17:45,1,4,GREAUS,0,83,0,0,14
R3012O,2012,14:05,17:45,1,5,GREAUS,0,92,1,0,14
R3012O,2012,14:05,17:45,1,6,GREAUS,0,94,1,0,14
R3012O,2012,14:05,17:45,1,7,GREAUS,0,92,1,0,14
R3012O,2012,14:05,17:45,1,8,GREAUS,0,10,4,0,14
R3012O,2012,14:05,17:45,1,9,GREAUS,1,55,0,0,14
R3012O,2012,14:05,17:45,1,10,GREAUS,0,15,1,0,14
R3012O,2012,14:05,17:45,2,11,GREAUS,6,75,1,0,10
R3012O,2012,14:05,17:45,2,12,GREAUS,1,91,2,0,10
R3012O,2012,14:05,17:45,2,13,GREAUS,0,72,2,0,10
R3012O,2012,14:05,17:45,2,14,GREAUS,0,93,2,0,10
R3012O,2012,14:05,17:45,2,15,GREAUS,0,75,3,0,10
R3012O,2012,14:05,17:45,2,16,GREAUS,0,88,5,0,10
R3012O,2012,14:05,17:45,2,17,GREAUS,0,27,3,0,10
R3012O,2012,14:05,17:45,2,18,GREAUS,0,25,1,0,10
R3012O,2012,14:05,17:45,2,19,GREAUS,1,58,1,0,10
R3012O,2012,14:05,17:45,2,20,GREAUS,0,65,0,0,10
R3012O,2012,14:05,17:45,3,21,GREAUS,1,80,4,0,26
R3012O,2012,14:05,17:45,3,22,GREAUS,0,10,20,0,26
R3012O,2012,14:05,17:45,3,23,GREAUS,1,55,18,0,26
R3012O,2012,14:05,17:45,3,24,GREAUS,0,87,0.5,0,26
R3012O,2012,14:05,17:45,3,25,GREAUS,0,93,5,0,26
R3012O,2012,14:05,17:45,3,26,GREAUS,0,75,20,0,26
R3012O,2012,14:05,17:45,3,27,GREAUS,0,75,7,0,26
R3012O,2012,14:05,17:45,3,28,GREAUS,0,52,6,0,26
R3012O,2012,14:05,17:45,3,29,GREAUS,0,68,20,0,26
R3012O,2012,14:05,17:45,3,30,GREAUS,0,83,1,0,26
R3012O,2012,14:05,17:45,4,31,GREAUS,0,75,5,0,19
R3012O,2012,14:05,17:45,4,32,GREAUS,0,70,20,0,19
R3012O,2012,14:05,17:45,4,33,GREAUS,0,70,4,0,19
R3012O,2012,14:05,17:45,4,34,GREAUS,0,70,6,0,19
R3012O,2012,14:05,17:45,4,35,GREAUS,0,90,4,0,19
R3012O,2012,14:05,17:45,4,36,GREAUS,0,80,5,0,19
R3012O,2012,14:05,17:45,4,37,GREAUS,0,73,6,0,19
R3012O,2012,14:05,17:45,4,38,GREAUS,0,77,7,0,19
R3012O,2012,14:05,17:45,4,39,GREAUS,0,95,0.5,0,19
R3012O,2012,14:05,17:45,4,40,GREAUS,0,96,4,0,19
R3021O,2012,13:50,NA,1,1,GREAUS,1,63,2,0,36
R3021O,2012,14:50,NA,1,2,GREAUS,0,78,10,0,36
R3021O,2012,15:50,NA,1,3,GREAUS,0,90,7,0,36
R3021O,2012,16:50,NA,1,4,GREAUS,0,80,13,0,36
R3021O,2012,17:50,NA,1,5,GREAUS,3,30,20,0,36
R3021O,2012,18:50,NA,1,6,GREAUS,0,80,15,0,36
R3021O,2012,19:50,NA,1,7,GREAUS,4,53,13,0,36
R3021O,2012,20:50,NA,1,8,GREAUS,1,90,5,0,36
R3021O,2012,21:50,NA,1,9,GREAUS,3,85,5,0,36
R3021O,2012,22:50,NA,1,10,GREAUS,3,70,23,0,36
R3021O,2012,23:50,NA,2,11,GREAUS,0,80,4,0,31
R3021O,2012,0:50,NA,2,12,GREAUS,0,53,10,0,31
R3021O,2012,1:50,NA,2,13,GREAUS,0,88,1,0,31
R3021O,2012,2:50,NA,2,14,GREAUS,0,75,8,0,31
R3021O,2012,3:50,NA,2,15,GREAUS,0,50,6,0,31
R3021O,2012,4:50,NA,2,16,GREAUS,5,60,5,0,31
R3021O,2012,5:50,NA,2,17,GREAUS,0,50,3,0,31
R3021O,2012,6:50,NA,2,18,GREAUS,1,50,5,0,31
R3021O,2012,7:50,NA,2,19,GREAUS,5,80,6,0,31
R3021O,2012,8:50,NA,2,20,GREAUS,6,70,20,0,31
R3021O,2012,9:50,NA,3,21,GREAUS,0,55,10,0,27
R3021O,2012,10:50,NA,3,22,GREAUS,0,65,10,0,27
R3021O,2012,11:50,NA,3,23,GREAUS,0,63,15,0,27
R3021O,2012,12:50,NA,3,24,GREAUS,3,28,30,0,27
R3021O,2012,13:50,NA,3,25,GREAUS,0,26,6,0,27
R3021O,2012,14:50,NA,3,26,GREAUS,3,60,3,0,27
R3021O,2012,15:50,NA,3,27,GREAUS,2,38,20,0,27
R3021O,2012,16:50,NA,3,28,GREAUS,0,87,6,0,27
R3021O,2012,17:50,NA,3,29,GREAUS,0,43,15,0,27
R3021O,2012,18:50,NA,3,30,GREAUS,0,85,4,0,27
R3021O,2012,19:50,NA,4,31,GREAUS,0,80,12,0,15
R3021O,2012,20:50,NA,4,32,GREAUS,3,75,12,0,15
R3021O,2012,21:50,NA,4,33,GREAUS,0,83,2,0,15
R3021O,2012,22:50,NA,4,34,GREAUS,0,33,2,0,15
R3021O,2012,23:50,NA,4,35,GREAUS,0,60,8,0,15
R3021O,2012,0:50,NA,4,36,GREAUS,0,75,8,0,15
R3021O,2012,1:50,NA,4,37,GREAUS,0,56,6,0,15
R3021O,2012,2:50,NA,4,38,GREAUS,0,70,3,0,15
R3021O,2012,3:50,NA,4,39,GREAUS,0,48,7,0,15
R3021O,2012,4:50,NA,4,40,GREAUS,0,48,4,0,15
C2151O,2012,13:20,18:30,1,1,GREAUS,5,65,15,0,105
C2151O,2012,13:20,18:30,1,2,GREAUS,0,45,3,0,105
C2151O,2012,13:20,18:30,1,3,GREAUS,19,85,7,0,105
C2151O,2012,13:20,18:30,1,4,GREAUS,2,75,6,0,105
C2151O,2012,13:20,18:30,1,5,GREAUS,3,88,5,0,105
C2151O,2012,13:20,18:30,1,6,GREAUS,3,58,3,0,105
C2151O,2012,13:20,18:30,1,7,GREAUS,0,73,3,0,105
C2151O,2012,13:20,18:30,1,8,GREAUS,0,99,0.5,0,105
C2151O,2012,13:20,18:30,1,9,GREAUS,3,80,7,0,105
C2151O,2012,13:20,18:30,1,10,GREAUS,4,72,8,0,105
C2151O,2012,13:20,18:30,2,11,GREAUS,0,99,0.5,0,94
C2151O,2012,13:20,18:30,2,12,GREAUS,1,93,3,0,94
C2151O,2012,13:20,18:30,2,13,GREAUS,1,99,0.5,0,94
C2151O,2012,13:20,18:30,2,14,GREAUS,2,85,6,0,94
C2151O,2012,13:20,18:30,2,15,GREAUS,0,95,3,0,94
C2151O,2012,13:20,18:30,2,16,GREAUS,2,70,6,0,94
C2151O,2012,13:20,18:30,2,17,GREAUS,0,97,1,0,94
C2151O,2012,13:20,18:30,2,18,GREAUS,0,90,2,0,94
C2151O,2012,13:20,18:30,2,19,GREAUS,3,60,3,0,94
C2151O,2012,13:20,18:30,2,20,GREAUS,1,50,8,0,94
C2151O,2012,13:20,18:30,3,21,GREAUS,4,95,3,0,77
C2151O,2012,13:20,18:30,3,22,GREAUS,2,75,1,0,77
C2151O,2012,13:20,18:30,3,23,GREAUS,10,70,18,0,77
C2151O,2012,13:20,18:30,3,24,GREAUS,1,90,4,0,77
C2151O,2012,13:20,18:30,3,25,GREAUS,0,90,4,0,77
C2151O,2012,13:20,18:30,3,26,GREAUS,1,90,4,0,77
C2151O,2012,13:20,18:30,3,27,GREAUS,1,92,4,0,77
C2151O,2012,13:20,18:30,3,28,GREAUS,2,68,30,0,77
C2151O,2012,13:20,18:30,3,29,GREAUS,6,63,18,0,77
C2151O,2012,13:20,18:30,3,30,GREAUS,2,60,20,0,77
C2151O,2012,13:20,18:30,4,31,GREAUS,17,76,3,0,79
C2151O,2012,13:20,18:30,4,32,GREAUS,5,75,8,0,79
C2151O,2012,13:20,18:30,4,33,GREAUS,15,80,7,0,79
C2151O,2012,13:20,18:30,4,34,GREAUS,15,48,25,0,79
C2151O,2012,13:20,18:30,4,35,GREAUS,4,72,20,0,79
C2151O,2012,13:20,18:30,4,36,GREAUS,12,56,24,0,79
C2151O,2012,13:20,18:30,4,37,GREAUS,5,88,2,0,79
C2151O,2012,13:20,18:30,4,38,GREAUS,2,35,35,0,79
C2151O,2012,13:20,18:30,4,39,GREAUS,0,80,4,0,79
C2151O,2012,13:20,18:30,4,40,GREAUS,1,60,5,0,79
C2131O,2012,10:00,NA,1,1,GREAUS,1,90,4,0,67
C2131O,2012,10:00,NA,1,2,GREAUS,8,45,30,0,67
C2131O,2012,10:00,NA,1,3,GREAUS,33,10,35,0,67
C2131O,2012,10:00,NA,1,4,GREAUS,15,27,23,0,67
C2131O,2012,10:00,NA,1,5,GREAUS,1,85,4,0,67
C2131O,2012,10:00,NA,1,6,GREAUS,5,55,3,0,67
C2131O,2012,10:00,NA,1,7,GREAUS,3,63,5,0,67
C2131O,2012,10:00,NA,1,8,GREAUS,3,51,8,0,67
C2131O,2012,10:00,NA,1,9,GREAUS,1,80,2,0,67
C2131O,2012,10:00,NA,1,10,GREAUS,1,52,6,0,67
C2131O,2012,10:00,NA,2,11,GREAUS,0,55,20,0,67
C2131O,2012,10:00,NA,2,12,GREAUS,27,27,15,0,67
C2131O,2012,10:00,NA,2,13,GREAUS,0,53,30,0,67
C2131O,2012,10:00,NA,2,14,GREAUS,5,63,4,0,67
C2131O,2012,10:00,NA,2,15,GREAUS,19,45,5,0,67
C2131O,2012,10:00,NA,2,16,GREAUS,2,92,0.5,0,67
C2131O,2012,10:00,NA,2,17,GREAUS,2,39,0.5,0,67
C2131O,2012,10:00,NA,2,18,GREAUS,0,33,3,0,67
C2131O,2012,10:00,NA,2,19,GREAUS,7,40,15,0,67
C2131O,2012,10:00,NA,2,20,GREAUS,0,40,2,0,67
C2131O,2012,10:00,NA,3,21,GREAUS,0,50,3,0,84
C2131O,2012,10:00,NA,3,22,GREAUS,6,25,6,0,84
C2131O,2012,10:00,NA,3,23,GREAUS,2,80,4,0,84
C2131O,2012,10:00,NA,3,24,GREAUS,18,25,10,0,84
C2131O,2012,10:00,NA,3,25,GREAUS,10,40,8,0,84
C2131O,2012,10:00,NA,3,26,GREAUS,0,97,0.5,0,84
C2131O,2012,10:00,NA,3,27,GREAUS,0,51,3,0,84
C2131O,2012,10:00,NA,3,28,GREAUS,0,65,2,0,84
C2131O,2012,10:00,NA,3,29,GREAUS,3,50,5,0,84
C2131O,2012,10:00,NA,3,30,GREAUS,1,44,3,0,84
C2131O,2012,10:00,NA,4,31,GREAUS,4,35,20,0,94
C2131O,2012,10:00,NA,4,32,GREAUS,2,60,17,0,94
C2131O,2012,10:00,NA,4,33,GREAUS,5,70,1,0,94
C2131O,2012,10:00,NA,4,34,GREAUS,1,30,4,0,94
C2131O,2012,10:00,NA,4,35,GREAUS,3,68,2,0,94
C2131O,2012,10:00,NA,4,36,GREAUS,0,90,4,0,94
C2131O,2012,10:00,NA,4,37,GREAUS,1,68,3,0,94
C2131O,2012,10:00,NA,4,38,GREAUS,1,50,2,0,94
C2131O,2012,10:00,NA,4,39,GREAUS,2,15,20,0,94
C2131O,2012,10:00,NA,4,40,GREAUS,1,70,6,0,94
C2111O,2012,10:05,12:40,1,1,GREAUS,0,43,2,0,76
C2111O,2012,10:05,12:40,1,2,GREAUS,5,79,4,0,76
C2111O,2012,10:05,12:40,1,3,GREAUS,6,33,4,0,76
C2111O,2012,10:05,12:40,1,4,GREAUS,3,93,3,0,76
C2111O,2012,10:05,12:40,1,5,GREAUS,8,63,20,0,76
C2111O,2012,10:05,12:40,1,6,GREAUS,9,68,12,0,76
C2111O,2012,10:05,12:40,1,7,GREAUS,5,75,9,0,76
C2111O,2012,10:05,12:40,1,8,GREAUS,3,42,29,0,76
C2111O,2012,10:05,12:40,1,9,GREAUS,7,70,17,0,76
C2111O,2012,10:05,12:40,1,10,GREAUS,0,67,2,0,76
C2111O,2012,10:05,12:40,2,11,GREAUS,5,60,1,0,78
C2111O,2012,10:05,12:40,2,12,GREAUS,2,32,4,0,78
C2111O,2012,10:05,12:40,2,13,GREAUS,0,48,13,0,78
C2111O,2012,10:05,12:40,2,14,GREAUS,0,48,4,0,78
C2111O,2012,10:05,12:40,2,15,GREAUS,3,80,3,0,78
C2111O,2012,10:05,12:40,2,16,GREAUS,1,24,10,0,78
C2111O,2012,10:05,12:40,2,17,GREAUS,1,80,5,0,78
C2111O,2012,10:05,12:40,2,18,GREAUS,2,25,40,0,78
C2111O,2012,10:05,12:40,2,19,GREAUS,1,97,2,0,78
C2111O,2012,10:05,12:40,2,20,GREAUS,5,65,8,0,78
C2111O,2012,10:05,12:40,3,21,GREAUS,4,55,19,0,78
C2111O,2012,10:05,12:40,3,22,GREAUS,0,58,9,0,78
C2111O,2012,10:05,12:40,3,23,GREAUS,0,73,8,0,78
C2111O,2012,10:05,12:40,3,24,GREAUS,8,67,4,0,78
C2111O,2012,10:05,12:40,3,25,GREAUS,2,54,22,0,78
C2111O,2012,10:05,12:40,3,26,GREAUS,0,57,2,0,78
C2111O,2012,10:05,12:40,3,27,GREAUS,1,76,9,0,78
C2111O,2012,10:05,12:40,3,28,GREAUS,0,79,4,0,78
C2111O,2012,10:05,12:40,3,29,GREAUS,2,51,34,0,78
C2111O,2012,10:05,12:40,3,30,GREAUS,2,77,22,0,78
C2111O,2012,10:05,12:40,4,31,GREAUS,7,16,4,0,56
C2111O,2012,10:05,12:40,4,32,GREAUS,6,78,7,0,56
C2111O,2012,10:05,12:40,4,33,GREAUS,2,38,13,0,56
C2111O,2012,10:05,12:40,4,34,GREAUS,3,58,9,0,56
C2111O,2012,10:05,12:40,4,35,GREAUS,0,75,18,0,56
C2111O,2012,10:05,12:40,4,36,GREAUS,0,50,5,0,56
C2111O,2012,10:05,12:40,4,37,GREAUS,1,83,10,0,56
C2111O,2012,10:05,12:40,4,38,GREAUS,6,49,30,0,56
C2111O,2012,10:05,12:40,4,39,GREAUS,2,53,20,0,56
C2111O,2012,10:05,12:40,4,40,GREAUS,1,40,15,0,56
C2101O,2012,14:00,16:30,1,1,GREAUS,3,20,6,0,54
C2101O,2012,14:00,16:30,1,2,GREAUS,7,22,20,0,54
C2101O,2012,14:00,16:30,1,3,GREAUS,0,25,30,0,54
C2101O,2012,14:00,16:30,1,4,GREAUS,8,20,13,0,54
C2101O,2012,14:00,16:30,1,5,GREAUS,0,25,1,0,54
C2101O,2012,14:00,16:30,1,6,GREAUS,0,25,2,0,54
C2101O,2012,14:00,16:30,1,7,GREAUS,1,20,8,0,54
C2101O,2012,14:00,16:30,1,8,GREAUS,1,50,3,0,54
C2101O,2012,14:00,16:30,1,9,GREAUS,3,40,4,0,54
C2101O,2012,14:00,16:30,1,10,GREAUS,2,10,18,0,54
C2101O,2012,14:00,16:30,2,11,GREAUS,4,58,6,0,64
C2101O,2012,14:00,16:30,2,12,GREAUS,9,45,3,0,64
C2101O,2012,14:00,16:30,2,13,GREAUS,2,50,4,0,64
C2101O,2012,14:00,16:30,2,14,GREAUS,0,40,2,0,64
C2101O,2012,14:00,16:30,2,15,GREAUS,0,26,10,0,64
C2101O,2012,14:00,16:30,2,16,GREAUS,0,38,3,0,64
C2101O,2012,14:00,16:30,2,17,GREAUS,0,35,15,0,64
C2101O,2012,14:00,16:30,2,18,GREAUS,1,27,6,0,64
C2101O,2012,14:00,16:30,2,19,GREAUS,1,43,1,0,64
C2101O,2012,14:00,16:30,2,20,GREAUS,1,26,2,0,64
C2101O,2012,14:00,16:30,3,21,GREAUS,1,10,3,0,82
C2101O,2012,14:00,16:30,3,22,GREAUS,0,51,7,0,82
C2101O,2012,14:00,16:30,3,23,GREAUS,0,61,6,0,82
C2101O,2012,14:00,16:30,3,24,GREAUS,0,14,10,0,82
C2101O,2012,14:00,16:30,3,25,GREAUS,0,51,7,0,82
C2101O,2012,14:00,16:30,3,26,GREAUS,0,54,2,0,82
C2101O,2012,14:00,16:30,3,27,GREAUS,1,42,5,0,82
C2101O,2012,14:00,16:30,3,28,GREAUS,0,73,4,0,82
C2101O,2012,14:00,16:30,3,29,GREAUS,2,69,4,0,82
C2101O,2012,14:00,16:30,3,30,GREAUS,1,85,3,0,82
C2101O,2012,14:00,16:30,4,31,GREAUS,0,60,10,0,52
C2101O,2012,14:00,16:30,4,32,GREAUS,3,55,1,0,52
C2101O,2012,14:00,16:30,4,33,GREAUS,1,57,4,0,52
C2101O,2012,14:00,16:30,4,34,GREAUS,1,26,4,0,52
C2101O,2012,14:00,16:30,4,35,GREAUS,0,71,2,0,52
C2101O,2012,14:00,16:30,4,36,GREAUS,0,73,3,0,52
C2101O,2012,14:00,16:30,4,37,GREAUS,0,90,1,0,52
C2101O,2012,14:00,16:30,4,38,GREAUS,0,72,0.5,0,52
C2101O,2012,14:00,16:30,4,39,GREAUS,0,60,4,0,52
C2101O,2012,14:00,16:30,4,40,GREAUS,0,33,10,40,52
C2071O,2012,10:00,NA,1,1,GREAUS,0,90,10,0,71
C2071O,2012,10:00,NA,1,2,GREAUS,1,58,3,0,71
C2071O,2012,10:00,NA,1,3,GREAUS,2,96,2,0,71
C2071O,2012,10:00,NA,1,4,GREAUS,0,65,3,0,71
C2071O,2012,10:00,NA,1,5,GREAUS,0,69,15,0,71
C2071O,2012,10:00,NA,1,6,GREAUS,7,35,40,0,71
C2071O,2012,10:00,NA,1,7,GREAUS,0,67,15,0,71
C2071O,2012,10:00,NA,1,8,GREAUS,2,70,13,0,71
C2071O,2012,10:00,NA,1,9,GREAUS,2,56,23,0,71
C2071O,2012,10:00,NA,1,10,GREAUS,3,74,13,0,71
C2071O,2012,10:00,NA,2,11,GREAUS,1,68,4,0,82
C2071O,2012,10:00,NA,2,12,GREAUS,1,53,5,0,82
C2071O,2012,10:00,NA,2,13,GREAUS,0,48,4,30,82
C2071O,2012,10:00,NA,2,14,GREAUS,0,27,20,0,82
C2071O,2012,10:00,NA,2,15,GREAUS,0,43,32,0,82
C2071O,2012,10:00,NA,2,16,GREAUS,5,35,28,0,82
C2071O,2012,10:00,NA,2,17,GREAUS,0,60,6,0,82
C2071O,2012,10:00,NA,2,18,GREAUS,3,73,10,0,82
C2071O,2012,10:00,NA,2,19,GREAUS,2,85,7,0,82
C2071O,2012,10:00,NA,2,20,GREAUS,1,78,7,0,82
C2071O,2012,10:00,NA,3,21,GREAUS,1,71,10,0,105
C2071O,2012,10:00,NA,3,22,GREAUS,0,89,6,0,105
C2071O,2012,10:00,NA,3,23,GREAUS,1,60,16,0,105
C2071O,2012,10:00,NA,3,24,GREAUS,0,59,20,0,105
C2071O,2012,10:00,NA,3,25,GREAUS,0,79,16,0,105
C2071O,2012,10:00,NA,3,26,GREAUS,1,75,3,0,105
C2071O,2012,10:00,NA,3,27,GREAUS,10,89,8,0,105
C2071O,2012,10:00,NA,3,28,GREAUS,1,90,4,0,105
C2071O,2012,10:00,NA,3,29,GREAUS,0,38,2,54,105
C2071O,2012,10:00,NA,3,30,GREAUS,11,62,22,0,105
C2071O,2012,10:00,NA,4,31,GREAUS,5,49,14,0,83
C2071O,2012,10:00,NA,4,32,GREAUS,1,70,14,0,83
C2071O,2012,10:00,NA,4,33,GREAUS,2,44,9,0,83
C2071O,2012,10:00,NA,4,34,GREAUS,2,85,11,0,83
C2071O,2012,10:00,NA,4,35,GREAUS,0,58,21,0,83
C2071O,2012,10:00,NA,4,36,GREAUS,10,39,20,0,83
C2071O,2012,10:00,NA,4,37,GREAUS,3,35,59,0,83
C2071O,2012,10:00,NA,4,38,GREAUS,0,60,19,0,83
C2071O,2012,10:00,NA,4,39,GREAUS,0,41,31,0,83
C2071O,2012,10:00,NA,4,40,GREAUS,5,27,18,29,83
C2061O,2012,NA,NA,1,1,GREAUS,4,48,20,0,86
C2061O,2012,NA,NA,1,2,GREAUS,6,70,8,0,86
C2061O,2012,NA,NA,1,3,GREAUS,8,90,2,0,86
C2061O,2012,NA,NA,1,4,GREAUS,0,72,9,0,86
C2061O,2012,NA,NA,1,5,GREAUS,8,80,3,0,86
C2061O,2012,NA,NA,1,6,GREAUS,5,50,2,0,86
C2061O,2012,NA,NA,1,7,GREAUS,3,68,6,0,86
C2061O,2012,NA,NA,1,8,GREAUS,1,73,10,0,86
C2061O,2012,NA,NA,1,9,GREAUS,0,75,8,0,86
C2061O,2012,NA,NA,1,10,GREAUS,1,58,18,0,86
C2061O,2012,NA,NA,2,11,GREAUS,1,40,20,0,65
C2061O,2012,NA,NA,2,12,GREAUS,0,55,22,0,65
C2061O,2012,NA,NA,2,13,GREAUS,2,13,60,0,65
C2061O,2012,NA,NA,2,14,GREAUS,3,96,2,0,65
C2061O,2012,NA,NA,2,15,GREAUS,11,75,10,0,65
C2061O,2012,NA,NA,2,16,GREAUS,0,88,8,0,65
C2061O,2012,NA,NA,2,17,GREAUS,0,35,18,0,65
C2061O,2012,NA,NA,2,18,GREAUS,3,70,12,0,65
C2061O,2012,NA,NA,2,19,GREAUS,0,75,8,0,65
C2061O,2012,NA,NA,2,20,GREAUS,1,77,8,0,65
C2061O,2012,NA,NA,3,21,GREAUS,10,31,29,0,54
C2061O,2012,NA,NA,3,22,GREAUS,1,46,41,0,54
C2061O,2012,NA,NA,3,23,GREAUS,1,48,15,0,54
C2061O,2012,NA,NA,3,24,GREAUS,5,47,31,0,54
C2061O,2012,NA,NA,3,25,GREAUS,4,63,15,0,54
C2061O,2012,NA,NA,3,26,GREAUS,2,54,14,0,54
C2061O,2012,NA,NA,3,27,GREAUS,2,65,10,0,54
C2061O,2012,NA,NA,3,28,GREAUS,0,58,9,0,54
C2061O,2012,NA,NA,3,29,GREAUS,3,86,4,0,54
C2061O,2012,NA,NA,3,30,GREAUS,3,52,13,0,54
C2061O,2012,NA,NA,4,31,GREAUS,2,40,53,0,68
C2061O,2012,NA,NA,4,32,GREAUS,0,50,4,0,68
C2061O,2012,NA,NA,4,33,GREAUS,1,51,20,0,68
C2061O,2012,NA,NA,4,34,GREAUS,0,61,13,0,68
C2061O,2012,NA,NA,4,35,GREAUS,11,71,12,0,68
C2061O,2012,NA,NA,4,36,GREAUS,1,79,16,0,68
C2061O,2012,NA,NA,4,37,GREAUS,8,67,15,0,68
C2061O,2012,NA,NA,4,38,GREAUS,2,68,3,0,68
C2061O,2012,NA,NA,4,39,GREAUS,0,85,3,0,68
C2061O,2012,NA,NA,4,40,GREAUS,1,30,4,0,68
R2092O,2012,16:15,18:20,1,1,GREAUS,0,65,1,0,57
R2092O,2012,16:15,18:20,1,2,GREAUS,0,80,3,0,57
R2092O,2012,16:15,18:20,1,3,GREAUS,1,93,18,0,57
R2092O,2012,16:15,18:20,1,4,GREAUS,13,60,8,0,57
R2092O,2012,16:15,18:20,1,5,GREAUS,0,70,5,0,57
R2092O,2012,16:15,18:20,1,6,GREAUS,8,83,4,0,57
R2092O,2012,16:15,18:20,1,7,GREAUS,0,85,4,0,57
R2092O,2012,16:15,18:20,1,8,GREAUS,11,84,7,0,57
R2092O,2012,16:15,18:20,1,9,GREAUS,6,80,2,0,57
R2092O,2012,16:15,18:20,1,10,GREAUS,3,92,5,0,57
R2092O,2012,16:15,18:20,2,11,GREAUS,0,78,3,0,67
R2092O,2012,16:15,18:20,2,12,GREAUS,10,55,3,0,67
R2092O,2012,16:15,18:20,2,13,GREAUS,4,70,4,0,67
R2092O,2012,16:15,18:20,2,14,GREAUS,0,70,3,0,67
R2092O,2012,16:15,18:20,2,15,GREAUS,1,85,3,0,67
R2092O,2012,16:15,18:20,2,16,GREAUS,0,96,1,0,67
R2092O,2012,16:15,18:20,2,17,GREAUS,1,97,1,0,67
R2092O,2012,16:15,18:20,2,18,GREAUS,1,97,3,0,67
R2092O,2012,16:15,18:20,2,19,GREAUS,0,96,3,0,67
R2092O,2012,16:15,18:20,2,20,GREAUS,0,89,3,0,67
R2092O,2012,16:15,18:20,3,21,GREAUS,0,79,2,0,21
R2092O,2012,16:15,18:20,3,22,GREAUS,0,62,1,0,21
R2092O,2012,16:15,18:20,3,23,GREAUS,0,83,3,0,21
R2092O,2012,16:15,18:20,3,24,GREAUS,0,84,0.5,0,21
R2092O,2012,16:15,18:20,3,25,GREAUS,0,84,2,0,21
R2092O,2012,16:15,18:20,3,26,GREAUS,0,94,0.5,0,21
R2092O,2012,16:15,18:20,3,27,GREAUS,1,92,2,0,21
R2092O,2012,16:15,18:20,3,28,GREAUS,0,90,3,0,21
R2092O,2012,16:15,18:20,3,29,GREAUS,0,92,0.5,0,21
R2092O,2012,16:15,18:20,3,30,GREAUS,1,78,4,0,21
R2092O,2012,16:15,18:20,4,31,GREAUS,0,69,1,0,7
R2092O,2012,16:15,18:20,4,32,GREAUS,0,22,1,0,7
